,neighbourhood_group_cleansed,availability_30,is_location_exact,host_identity_verified,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,price,Price_Person_Night,room_type,security_deposit,cleaning_fee,number_of_reviews,cancellation_policy,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_value,extra_people,guests_included,accommodates,host_is_superhost,instant_bookable
0,Centro,4,t,t,2.0,1.0,2.0,2,30,44.7342,22.3671,Private room,93.88789785,14.0831846775,100,moderate,5.04,92.0,9.0,9.0,0.0,2,2,f,t
1,Centro,0,t,t,1.0,3.0,9.0,1,1125,143.7885,23.96475,Entire_home/apt,187.7757957,37.55515914,68,moderate,4.39,93.0,9.0,9.0,14.0831846775,6,10,f,t
2,Centro,4,t,f,1.0,1.0,1.0,1,1125,86.2731,43.13655,Entire_home/apt,0.0,14.0831846775,34,strict,5.57,93.0,9.0,9.0,9.388789785,2,2,t,t
3,Centro,1,f,f,1.0,1.0,1.0,3,1125,45.7993,45.7993,Private room,0.0,0.0,11,strict,0.24,98.0,10.0,10.0,9.388789785,1,2,t,f
4,Centro,7,t,t,1.5,2.0,2.0,1,1125,53.255,26.6275,Entire_home/apt,234.719744625,18.77757957,6,strict,4.29,100.0,10.0,10.0,23.4719744625,2,4,f,f
5,Centro,1,f,t,2.0,3.0,4.0,2,1125,153.3744,38.3436,Entire_home/apt,187.7757957,32.8607642475,78,strict,6.19,98.0,10.0,10.0,23.4719744625,4,6,t,t
6,Centro,1,f,t,1.0,1.0,2.0,1,30,63.906,31.953,Entire_home/apt,0.0,23.4719744625,73,moderate,1.77,98.0,10.0,10.0,14.0831846775,2,3,f,t
7,Centro,1,f,t,1.0,1.0,2.0,1,31,72.4268,72.4268,Entire_home/apt,0.0,23.4719744625,45,moderate,6.92,95.0,10.0,10.0,0.0,1,4,f,t
8,Centro,7,t,t,1.0,1.0,3.0,1,1125,63.906,31.953,Entire_home/apt,0.0,9.388789785,4,strict,2.14,75.0,9.0,7.0,14.0831846775,2,4,f,t
9,Centro,9,t,t,1.0,1.0,1.0,4,1125,31.953,31.953,Private room,187.7757957,0.0,8,moderate,2.0,100.0,10.0,10.0,23.4719744625,1,2,f,f
10,Centro,5,t,t,1.0,1.0,1.0,2,1125,35.1483,35.1483,Private room,0.0,0.0,104,moderate,5.27,85.0,9.0,9.0,0.0,1,2,f,t
11,Centro,7,t,t,1.0,4.0,6.0,3,1125,84.1429,21.035725,Entire_home/apt,140.831846775,32.8607642475,33,moderate,2.86,82.0,8.0,8.0,9.388789785,4,8,f,t
