,neighborhood,rooms,Monthly_rent_Idealista_EUR,Number_flats_IDEALISTA,Avg_Price_Night_Airbnb,Number_flats_AIRBNB,availability_30,Estimated_income_Airbnb_EUR,Holyday_rental_premium_pct
8,Acacias,1,825.0,6.0,63.906,21.0,7.57142857143,1433.32028571,73.7357922078
9,Acacias,2,1012.5,4.0,83.61035,18.0,8.66666666667,1783.68746667,76.1666633745
12,Adelfas,1,975.0,5.0,69.2315,10.0,11.8,1260.0133,29.2321333333
13,Adelfas,2,1200.0,11.0,83.0778,9.0,9.11111111111,1735.40293333,44.6169111111
20,Almagro,0,900.0,2.0,69.2315,9.0,10.0,1384.63,53.8477777778
21,Almagro,1,1200.0,10.0,80.9476,34.0,8.91176470588,1707.04203529,42.2535029412
22,Almagro,2,2350.0,27.0,106.51,21.0,9.80952380952,2150.48761905,-8.48988855117
23,Almagro,3,2475.0,16.0,176.8066,5.0,12.0,3182.5188,28.5866181818
26,Almendrales,0,660.0,7.0,34.0832,5.0,7.0,783.9136,18.7747878788
36,Arapiles,0,650.0,3.0,53.255,22.0,8.22727272727,1159.50659091,78.3856293706
37,Arapiles,1,950.0,19.0,62.8409,27.0,8.74074074074,1335.95098519,40.6264194932
38,Arapiles,2,1380.0,21.0,95.859,12.0,10.75,1845.28575,33.7163586957
39,Arapiles,3,1500.0,8.0,154.4395,5.0,7.4,3490.3327,132.688846667
43,Aravaca,2,1175.0,2.0,76.6872,5.0,13.6,1257.67008,7.03575148936
49,Argüelles,0,1050.0,7.0,63.906,12.0,9.66666666667,1299.422,23.7544761905
50,Argüelles,1,1100.0,23.0,79.8825,44.0,8.79545454545,1693.87210227,53.9883729339
51,Argüelles,2,1200.0,38.0,99.0543,37.0,8.94594594595,2085.49458649,73.7912155405
52,Argüelles,3,1735.0,8.0,164.0254,10.0,11.9,2968.85974,71.1158351585
62,Bellas Vistas,1,800.0,17.0,53.255,11.0,10.1818181818,1055.41727273,31.9271590909
63,Bellas Vistas,2,865.0,1.0,62.30835,14.0,8.35714285714,1348.53071786,55.8995049546
67,Hispanoamérica,1,1090.0,19.0,77.7523,18.0,11.2222222222,1460.01541111,33.9463679918
68,Hispanoamérica,2,1380.0,23.0,100.1194,14.0,8.28571428571,2174.02125714,57.5377722567
69,Hispanoamérica,3,1800.0,11.0,143.7885,5.0,11.4,2674.4661,48.58145
72,Berruguete,1,750.0,14.0,53.255,13.0,11.6153846154,979.072692308,30.543025641
73,Berruguete,2,1100.0,14.0,59.6456,7.0,7.71428571429,1329.2448,20.8404363636
81,Campamento,3,799.0,3.0,48.9946,7.0,10.5714285714,951.895085714,19.1358054711
94,Casa de Campo,1,1050.0,1.0,64.9711,10.0,8.1,1422.86709,35.5111514286
95,Casa de Campo,2,1337.5,2.0,98.52175,8.0,10.5,1921.174125,43.6391869159
96,Casa de Campo,3,1250.0,4.0,101.1845,5.0,9.6,2064.1638,65.133104
105,Casco Histórico de Vallecas,1,600.0,1.0,52.1899,8.0,14.625,802.4197125,33.73661875
106,Casco Histórico de Vallecas,2,600.0,1.0,106.51,5.0,17.2,1363.328,127.221333333
110,Castellana,1,1300.0,19.0,82.54525,18.0,9.16666666667,1719.69270833,32.2840544872
111,Castellana,2,2250.0,54.0,149.114,17.0,10.5294117647,2903.33729412,29.0372130719
112,Castellana,3,5900.0,14.0,192.7831,8.0,11.75,3518.291575,-40.3679394068
118,Castilla,1,1000.0,35.0,63.906,9.0,13.8888888889,1029.59666667,2.95966666667
119,Castilla,2,1075.0,8.0,69.2315,5.0,10.8,1329.2448,23.6506790698
123,Chopera,1,950.0,1.0,53.255,11.0,10.1818181818,1055.41727273,11.0965550239
124,Chopera,2,1100.0,2.0,53.255,14.0,8.21428571429,1160.19821429,5.47256493506
127,Justicia,0,850.0,17.0,58.5805,67.0,8.41791044776,1264.28959701,48.73995259
128,Justicia,1,1350.0,32.0,74.557,224.0,8.67857142857,1589.66175,17.7527222222
129,Justicia,2,2650.0,18.0,106.51,109.0,10.6972477064,2055.93614679,-22.4175038948
130,Justicia,3,2725.0,10.0,159.765,25.0,10.32,3144.1752,15.3825761468
131,Justicia,4,4300.0,2.0,159.765,9.0,9.11111111111,3337.31333333,-22.3880620155
134,Ciudad Jardín,1,720.0,7.0,74.557,6.0,10.6666666667,1441.43533333,100.199351852
135,Ciudad Jardín,2,1250.0,19.0,106.51,5.0,12.6,1853.274,48.26192
136,Ciudad Jardín,3,1700.0,4.0,117.161,6.0,9.83333333333,2362.74683333,38.9851078431
149,Comillas,1,820.0,1.0,53.255,9.0,11.4444444444,988.176111111,20.5092818428
152,Concepción,1,930.0,7.0,59.6456,6.0,15.8333333333,844.979333333,-9.14200716846
153,Concepción,2,820.0,2.0,63.906,7.0,5.85714285714,1542.87342857,88.1552961672
168,Cuatro Caminos,1,900.0,41.0,63.906,35.0,9.77142857143,1292.72708571,43.6363428571
169,Cuatro Caminos,2,1350.0,64.0,90.5335,17.0,9.76470588235,1831.972,35.7016296296
174,Castillejos,0,900.0,5.0,53.255,5.0,8.0,1171.61,30.1788888889
175,Castillejos,1,950.0,29.0,74.557,15.0,14.4,1163.0892,22.4304421053
176,Castillejos,2,1324.5,16.0,85.208,5.0,12.0,1533.744,15.7979614949
180,Delicias,1,1050.0,3.0,54.3201,17.0,8.29411764706,1179.0657,12.2919714286
181,Delicias,2,1100.0,7.0,73.4919,13.0,11.3846153846,1368.07998462,24.3709076923
182,Delicias,3,1450.0,15.0,96.9241,5.0,6.0,2326.1784,60.4260965517
191,El Viso,2,2200.0,13.0,94.7939,5.0,8.2,2066.50702,-6.06786272727
