,address,bathrooms,country,detailedType,district,exterior,externalReference,floor,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,newDevelopmentFinished,numPhotos,operation,parkingSpace,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts,thumbnail,url
0,barrio Ciudad Universitaria,1,es,{u'typology': u'flat'},Moncloa,True,01495,5,False,True,False,True,40.4483121,-3.7169909,Madrid,Ciudad Universitaria,False,,17,rent,"{u'parkingSpacePrice': 80.0, u'hasParkingSpace': True, u'isParkingSpaceIncludedInPrice': False}",1600.0,16.0,38312706,flat,Madrid,2,False,100.0,good,"{u'subtitle': u'Ciudad Universitaria, Madrid', u'title': u'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/22/e6/05/234310610.jpg,http://www.idealista.com/38312706
1,"calle Conde de Duque, 6",1,es,"{u'subTypology': u'studio', u'typology': u'flat'}",Centro,False,,3,False,True,False,False,40.4259124,-3.7112657,Madrid,Malasaña-Universidad,False,,28,rent,,800.0,32.0,38312999,studio,Madrid,0,True,25.0,good,"{u'subtitle': u'Malasaña-Universidad, Madrid', u'title': u'Estudio en calle Conde de Duque, 6'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/22/be/d5/234312490.jpg,http://www.idealista.com/38312999
2,barrio Bernabéu-Hispanoamérica,3,es,{u'typology': u'flat'},Chamartín,True,01494,3,False,True,False,True,40.457164,-3.6807362,Madrid,Bernabéu-Hispanoamérica,False,,22,rent,"{u'hasParkingSpace': True, u'isParkingSpaceIncludedInPrice': True}",2400.0,13.0,38302487,flat,Madrid,4,False,180.0,good,"{u'subtitle': u'Bernabéu-Hispanoamérica, Madrid', u'title': u'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f4/a4/3a/234306969.jpg,http://www.idealista.com/38302487
3,"calle de la infanta mercedes, 62",1,es,{u'typology': u'flat'},Tetuán,False,,3,False,True,False,False,40.4602963,-3.6963123,Madrid,Cuzco-Castillejos,False,,25,rent,,950.0,24.0,33858989,flat,Madrid,1,True,40.0,good,"{u'subtitle': u'Cuzco-Castillejos, Madrid', u'title': u'Piso en calle de la infanta mercedes, 62'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b9/6f/bf/154013684.jpg,http://www.idealista.com/33858989
4,calle Castelló,2,es,{u'typology': u'flat'},Salamanca,True,ACC20817,5,False,True,False,False,40.4309734,-3.6806357,Madrid,Castellana,False,,20,rent,,2250.0,19.0,38312846,flat,Madrid,2,False,120.0,good,"{u'subtitle': u'Castellana, Madrid', u'title': u'Piso en calle Castelló'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/db/0d/e5/234310222.jpg,http://www.idealista.com/38312846
5,barrio Chueca-Justicia,1,es,{u'typology': u'flat'},Centro,True,,1,False,True,False,False,40.4215215,-3.6938446,Madrid,Chueca-Justicia,False,,2,rent,,1500.0,16.0,38312915,flat,Madrid,1,False,93.0,good,"{u'subtitle': u'Chueca-Justicia, Madrid', u'title': u'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9d/47/6f/234315243.jpg,http://www.idealista.com/38312915
6,paseo de la Castellana,2,es,{u'typology': u'flat'},Tetuán,True,,7,False,True,False,False,40.4564839,-3.692053,Madrid,Cuatro Caminos,False,,14,rent,"{u'hasParkingSpace': True, u'isParkingSpaceIncludedInPrice': True}",1500.0,17.0,38312903,flat,Madrid,2,False,90.0,good,"{u'subtitle': u'Cuatro Caminos, Madrid', u'title': u'Piso en paseo de la Castellana'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a4/d2/f3/234311082.jpg,http://www.idealista.com/38312903
7,"calle Bernardino Obregón, 19",1,es,{u'typology': u'flat'},Arganzuela,True,,2,False,True,False,False,40.4031206,-3.6991813,Madrid,Palos de Moguer,False,,3,rent,,875.0,18.0,38312887,flat,Madrid,1,True,50.0,good,"{u'subtitle': u'Palos de Moguer, Madrid', u'title': u'Piso en calle Bernardino Obregón, 19'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a5/a2/80/234310510.jpg,http://www.idealista.com/38312887
8,Centro,1,es,{u'typology': u'flat'},Centro,True,,1,False,False,False,False,40.6571531,-3.7682137,Colmenar Viejo,,False,,17,rent,"{u'hasParkingSpace': True, u'isParkingSpaceIncludedInPrice': True}",650.0,9.0,38312861,flat,Madrid,2,False,70.0,good,"{u'subtitle': u'Centro, Colmenar Viejo', u'title': u'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/90/id.pro.es.image.master/e2/4a/f9/234309993.jpg,http://www.idealista.com/38312861
9,barrio El Viso,2,es,{u'typology': u'flat'},Chamartín,True,1765,2,False,True,False,False,40.4469286,-3.6845523,Madrid,El Viso,False,,34,rent,,2500.0,26.0,38310054,flat,Madrid,2,False,95.0,good,"{u'subtitle': u'El Viso, Madrid', u'title': u'Piso'}",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1d/e7/70/234309981.jpg,http://www.idealista.com/38310054
